variant,ticker,date,condition,n,mean,std,buy_rate,underweight_or_sell_rate
none,PLTR,2025-12-09,clean,5,2.4,1.14,0.2,0.6
none,PLTR,2025-12-09,a5v2,5,2.4,0.548,0.0,0.6
none,PLTR,2025-12-09,a2v2_a5v2,5,2.4,0.894,0.0,0.4
none,SNOW,2025-12-16,clean,5,2.4,0.548,0.0,0.6
none,SNOW,2025-12-16,a5v2,5,2.2,0.447,0.0,0.8
none,SNOW,2025-12-16,a2v2_a5v2,5,2.2,0.447,0.0,0.8
no_bb,PLTR,2025-12-09,clean,5,2.4,0.894,0.0,0.4
no_bb,PLTR,2025-12-09,a5v2,5,3.8,1.095,0.4,0.0
no_bb,PLTR,2025-12-09,a2v2_a5v2,5,3.8,1.304,0.6,0.2
no_bb,SNOW,2025-12-16,clean,5,3.4,0.548,0.4,0.0
no_bb,SNOW,2025-12-16,a5v2,5,3.4,0.894,0.2,0.0
no_bb,SNOW,2025-12-16,a2v2_a5v2,5,3.2,0.447,0.2,0.0
no_risk,PLTR,2025-12-09,clean,5,2.2,0.837,0.0,0.6
no_risk,PLTR,2025-12-09,a5v2,5,3.2,1.095,0.2,0.2
no_risk,PLTR,2025-12-09,a2v2_a5v2,5,1.8,0.447,0.0,1.0
no_risk,SNOW,2025-12-16,clean,5,2.2,0.837,0.0,0.6
no_risk,SNOW,2025-12-16,a5v2,5,2.4,0.894,0.0,0.4
no_risk,SNOW,2025-12-16,a2v2_a5v2,5,3,1.225,0.2,0.4
mem_to_analyst,PLTR,2025-12-09,clean,5,2.4,0.548,0.0,0.6
mem_to_analyst,PLTR,2025-12-09,a5v2,5,3.2,1.095,0.2,0.2
mem_to_analyst,PLTR,2025-12-09,a2v2_a5v2,5,3,1.225,0.2,0.4
mem_to_analyst,SNOW,2025-12-16,clean,5,2,0.707,0.0,0.8
mem_to_analyst,SNOW,2025-12-16,a5v2,5,2.4,0.548,0.0,0.6
mem_to_analyst,SNOW,2025-12-16,a2v2_a5v2,5,2,0.0,0.0,1.0
