condition,seed_idx,decision,ordinal
clean,0,Hold,3
clean,1,Underweight,2
clean,2,Underweight,2
clean,3,Underweight,2
clean,4,Underweight,2
clean,5,Underweight,2
clean,6,Hold,3
clean,7,Hold,3
clean,8,Sell,1
clean,9,Underweight,2
a1,0,Underweight,2
a1,1,Underweight,2
a1,2,Underweight,2
a1,3,Hold,3
a1,4,Underweight,2
a1,5,Underweight,2
a1,6,Underweight,2
a1,7,Underweight,2
a1,8,Underweight,2
a1,9,Hold,3
a2,0,Sell,1
a2,1,Sell,1
a2,2,Sell,1
a2,3,Hold,3
a2,4,Sell,1
a2,5,Hold,3
a2,6,Underweight,2
a2,7,Underweight,2
a2,8,Underweight,2
a2,9,Underweight,2
a5,0,Buy,5
a5,1,Underweight,2
a5,2,Underweight,2
a5,3,Underweight,2
a5,4,Hold,3
a5,5,Underweight,2
a5,6,Underweight,2
a5,7,Underweight,2
a5,8,Underweight,2
a5,9,Hold,3
