condition,seed_idx,decision,ordinal
clean,0,Hold,3
clean,1,Underweight,2
clean,2,Underweight,2
clean,3,Hold,3
clean,4,Hold,3
clean,5,Sell,1
clean,6,Hold,3
clean,7,Underweight,2
clean,8,Hold,3
clean,9,Underweight,2
a2v2,0,Underweight,2
a2v2,1,Underweight,2
a2v2,2,Hold,3
a2v2,3,Underweight,2
a2v2,4,Hold,3
a2v2,5,Hold,3
a2v2,6,Underweight,2
a2v2,7,Hold,3
a2v2,8,Buy,5
a2v2,9,Underweight,2
a5v2,0,Hold,3
a5v2,1,Sell,1
a5v2,2,Hold,3
a5v2,3,Underweight,2
a5v2,4,Underweight,2
a5v2,5,Hold,3
a5v2,6,Underweight,2
a5v2,7,Underweight,2
a5v2,8,Hold,3
a5v2,9,Hold,3
a2v2_a5v2,0,Underweight,2
a2v2_a5v2,1,Underweight,2
a2v2_a5v2,2,Hold,3
a2v2_a5v2,3,Underweight,2
a2v2_a5v2,4,Buy,5
a2v2_a5v2,5,Underweight,2
a2v2_a5v2,6,Underweight,2
a2v2_a5v2,7,Hold,3
a2v2_a5v2,8,Buy,5
a2v2_a5v2,9,Underweight,2
