condition,seed_idx,decision,ordinal
clean,0,Hold,3
clean,1,Underweight,2
clean,2,Underweight,2
clean,3,Underweight,2
clean,4,Underweight,2
clean,5,Underweight,2
clean,6,Underweight,2
clean,7,Underweight,2
clean,8,Underweight,2
clean,9,Underweight,2
a1,0,Underweight,2
a1,1,Underweight,2
a1,2,Underweight,2
a1,3,Underweight,2
a1,4,Underweight,2
a1,5,Underweight,2
a1,6,Underweight,2
a1,7,Underweight,2
a1,8,Underweight,2
a1,9,Hold,3
a2v2,0,Underweight,2
a2v2,1,Underweight,2
a2v2,2,Underweight,2
a2v2,3,Underweight,2
a2v2,4,Underweight,2
a2v2,5,Underweight,2
a2v2,6,Underweight,2
a2v2,7,Underweight,2
a2v2,8,Sell,1
a2v2,9,Hold,3
a5v2,0,Sell,1
a5v2,1,Sell,1
a5v2,2,Sell,1
a5v2,3,Sell,1
a5v2,4,Sell,1
a5v2,5,Sell,1
a5v2,6,Hold,3
a5v2,7,Sell,1
a5v2,8,Sell,1
a5v2,9,Sell,1
