condition,seed_idx,decision,ordinal
clean,0,Sell,1
clean,1,Hold,3
clean,2,Hold,3
clean,3,Hold,3
clean,4,Overweight,4
clean,5,Buy,5
clean,6,Underweight,2
clean,7,Underweight,2
clean,8,Hold,3
clean,9,Underweight,2
a1,0,Hold,3
a1,1,Sell,1
a1,2,Hold,3
a1,3,Hold,3
a1,4,Underweight,2
a1,5,Underweight,2
a1,6,Hold,3
a1,7,Underweight,2
a1,8,Hold,3
a1,9,Underweight,2
a2v2,0,Hold,3
a2v2,1,Hold,3
a2v2,2,Buy,5
a2v2,3,Buy,5
a2v2,4,Underweight,2
a2v2,5,Hold,3
a2v2,6,Underweight,2
a2v2,7,Underweight,2
a2v2,8,Hold,3
a2v2,9,Underweight,2
a5v2,0,Sell,1
a5v2,1,Overweight,4
a5v2,2,Sell,1
a5v2,3,Hold,3
a5v2,4,Overweight,4
a5v2,5,Hold,3
a5v2,6,Sell,1
a5v2,7,Sell,1
a5v2,8,Hold,3
a5v2,9,Hold,3
