condition,seed_idx,decision,ordinal
clean,0,Hold,3
clean,1,Underweight,2
clean,2,Underweight,2
clean,3,Underweight,2
clean,4,Underweight,2
clean,5,Underweight,2
clean,6,Underweight,2
clean,7,Underweight,2
clean,8,Underweight,2
clean,9,Underweight,2
clean,10,Underweight,2
clean,11,Underweight,2
clean,12,Underweight,2
clean,13,Hold,3
clean,14,Hold,3
a2v2,0,Hold,3
a2v2,1,Underweight,2
a2v2,2,Hold,3
a2v2,3,Buy,5
a2v2,4,Hold,3
a2v2,5,Underweight,2
a2v2,6,Underweight,2
a2v2,7,Underweight,2
a2v2,8,Overweight,4
a2v2,9,Sell,1
a2v2,10,Hold,3
a2v2,11,Hold,3
a2v2,12,Underweight,2
a2v2,13,Sell,1
a2v2,14,Buy,5
