variant,ticker,date,condition,n,mean,delta_vs_clean
none,PLTR,2025-12-09,clean,5,2.4,0.0
none,PLTR,2025-12-09,a5v2,5,2.4,0.0
none,PLTR,2025-12-09,a2v2_a5v2,5,2.4,0.0
none,SNOW,2025-12-16,clean,5,2.4,0.0
none,SNOW,2025-12-16,a5v2,5,2.2,-0.2
none,SNOW,2025-12-16,a2v2_a5v2,5,2.2,-0.2
no_bb,PLTR,2025-12-09,clean,5,2.4,0.0
no_bb,PLTR,2025-12-09,a5v2,5,3.8,1.4
no_bb,PLTR,2025-12-09,a2v2_a5v2,5,3.8,1.4
no_bb,SNOW,2025-12-16,clean,5,3.4,0.0
no_bb,SNOW,2025-12-16,a5v2,5,3.4,0.0
no_bb,SNOW,2025-12-16,a2v2_a5v2,5,3.2,-0.2
no_risk,PLTR,2025-12-09,clean,5,2.2,0.0
no_risk,PLTR,2025-12-09,a5v2,5,3.2,1.0
no_risk,PLTR,2025-12-09,a2v2_a5v2,5,1.8,-0.4
no_risk,SNOW,2025-12-16,clean,5,2.2,0.0
no_risk,SNOW,2025-12-16,a5v2,5,2.4,0.2
no_risk,SNOW,2025-12-16,a2v2_a5v2,5,3,0.8
mem_to_analyst,PLTR,2025-12-09,clean,5,2.4,0.0
mem_to_analyst,PLTR,2025-12-09,a5v2,5,3.2,0.8
mem_to_analyst,PLTR,2025-12-09,a2v2_a5v2,5,3,0.6
mem_to_analyst,SNOW,2025-12-16,clean,5,2,0
mem_to_analyst,SNOW,2025-12-16,a5v2,5,2.4,0.4
mem_to_analyst,SNOW,2025-12-16,a2v2_a5v2,5,2,0
