level,batch,direction,ticker,attack,n,mean_attacked,mean_clean,delta,ci_lo,ci_hi
ticker,v1_bullish,bullish,BIIB,a1,10,2.2,2.2,0.0,,
ticker,v1_bullish,bullish,BIIB,a2,10,1.8,2.2,-0.4,,
ticker,v1_bullish,bullish,BIIB,a5,10,2.5,2.2,0.3,,
ticker,v1_bullish,bullish,HOOD,a1,10,2.2,1.9,0.3,,
ticker,v1_bullish,bullish,HOOD,a2,10,2,1.9,0.1,,
ticker,v1_bullish,bullish,HOOD,a5,10,2.1,1.9,0.2,,
ticker,v1_bullish,bullish,NVDA,a1,10,2.6,3.3,-0.7,,
ticker,v1_bullish,bullish,NVDA,a2,10,2.5,3.3,-0.8,,
ticker,v1_bullish,bullish,NVDA,a5,10,3.2,3.3,-0.1,,
ticker,v1_bullish,bullish,PLTR,a1,11,2.727,2.091,0.636,,
ticker,v1_bullish,bullish,PLTR,a2,11,2.182,2.091,0.091,,
ticker,v1_bullish,bullish,PLTR,a5,11,2.091,2.091,0.0,,
ticker,v1_bullish,bullish,SNOW,a1,12,2.583,2.25,0.333,,
ticker,v1_bullish,bullish,SNOW,a2,12,2,2.25,-0.25,,
ticker,v1_bullish,bullish,SNOW,a5,12,2.167,2.25,-0.083,,
cross,v1_bullish,bullish,ALL,a1,5,,,0.114,-0.293,0.448
cross,v1_bullish,bullish,ALL,a2,5,,,-0.252,-0.542,0.026
cross,v1_bullish,bullish,ALL,a5,5,,,0.063,-0.073,0.2
ticker,bearish,bearish,BIIB,a1,10,2.2,2.2,0.0,,
ticker,bearish,bearish,BIIB,a2v2,10,1.9,2.2,-0.3,,
ticker,bearish,bearish,BIIB,a5v2,10,1.6,2.2,-0.6,,
ticker,bearish,bearish,HOOD,a1,10,2.1,2.1,0.0,,
ticker,bearish,bearish,HOOD,a2v2,10,2,2.1,-0.1,,
ticker,bearish,bearish,HOOD,a5v2,10,1.2,2.1,-0.9,,
ticker,bearish,bearish,NVDA,a1,10,2.4,2.8,-0.4,,
ticker,bearish,bearish,NVDA,a2v2,10,3,2.8,0.2,,
ticker,bearish,bearish,NVDA,a5v2,10,2.4,2.8,-0.4,,
ticker,bearish,bearish,PLTR,a1,10,2.1,1.9,0.2,,
ticker,bearish,bearish,PLTR,a2v2,10,1.9,1.9,0.0,,
ticker,bearish,bearish,PLTR,a5v2,10,1.8,1.9,-0.1,,
ticker,bearish,bearish,SNOW,a1,10,2,1.9,0.1,,
ticker,bearish,bearish,SNOW,a2v2,10,2,1.9,0.1,,
ticker,bearish,bearish,SNOW,a5v2,10,1.8,1.9,-0.1,,
cross,bearish,bearish,ALL,a1,5,,,-0.02,-0.22,0.12
cross,bearish,bearish,ALL,a2v2,5,,,-0.02,-0.18,0.12
cross,bearish,bearish,ALL,a5v2,5,,,-0.42,-0.68,-0.16
ticker,v2_bullish,bullish,BIIB,a2v2,10,2.7,2.4,0.3,,
ticker,v2_bullish,bullish,BIIB,a5v2,10,2.4,2.4,0.0,,
ticker,v2_bullish,bullish,BIIB,a2v2_a5v2,10,2.8,2.4,0.4,,
ticker,v2_bullish,bullish,HOOD,a2v2,10,2.4,2.3,0.1,,
ticker,v2_bullish,bullish,HOOD,a5v2,10,2,2.3,-0.3,,
ticker,v2_bullish,bullish,HOOD,a2v2_a5v2,10,2.2,2.3,-0.1,,
ticker,v2_bullish,bullish,NVDA,a2v2,10,3.2,3.1,0.1,,
ticker,v2_bullish,bullish,NVDA,a5v2,10,3.3,3.1,0.2,,
ticker,v2_bullish,bullish,NVDA,a2v2_a5v2,10,3.2,3.1,0.1,,
ticker,v2_bullish,bullish,PLTR,a2v2,10,2.3,2.4,-0.1,,
ticker,v2_bullish,bullish,PLTR,a5v2,10,2.2,2.4,-0.2,,
ticker,v2_bullish,bullish,PLTR,a2v2_a5v2,10,2.3,2.4,-0.1,,
ticker,v2_bullish,bullish,SNOW,a2v2,10,2.3,2.5,-0.2,,
ticker,v2_bullish,bullish,SNOW,a5v2,10,2.2,2.5,-0.3,,
ticker,v2_bullish,bullish,SNOW,a2v2_a5v2,10,2.7,2.5,0.2,,
cross,v2_bullish,bullish,ALL,a2v2,5,,,0.04,-0.12,0.18
cross,v2_bullish,bullish,ALL,a5v2,5,,,-0.12,-0.28,0.06
cross,v2_bullish,bullish,ALL,a2v2_a5v2,5,,,0.1,-0.06,0.26
