level,matrix,ticker,defense,attack,n_def,n_none,mean_none,mean_def,delta,ci_lo,ci_hi
ticker,_d3_variants,HOOD,d3a,a1,5,5,2,1.8,0.2,,
ticker,_d3_variants,HOOD,d3b,a1,5,5,2,2,0,,
ticker,_d3_variants,HOOD,d3a,a2v2,5,5,2.4,1.8,0.6,,
ticker,_d3_variants,HOOD,d3b,a2v2,5,5,2.4,2,0.4,,
ticker,_d3_variants,HOOD,d3a,a2v2_a5v2,5,5,2.2,2,0.2,,
ticker,_d3_variants,HOOD,d3b,a2v2_a5v2,5,5,2.2,2.2,0.0,,
ticker,_d3_variants,PLTR,d3a,a1,5,5,3.2,2,1.2,,
ticker,_d3_variants,PLTR,d3b,a1,5,5,3.2,2.8,0.4,,
ticker,_d3_variants,PLTR,d3a,a2v2,5,5,2.4,1.8,0.6,,
ticker,_d3_variants,PLTR,d3b,a2v2,5,5,2.4,2.2,0.2,,
ticker,_d3_variants,PLTR,d3a,a2v2_a5v2,5,5,2.4,3,-0.6,,
ticker,_d3_variants,PLTR,d3b,a2v2_a5v2,5,5,2.4,2.6,-0.2,,
ticker,_d3_variants,SNOW,d3a,a1,5,5,2.6,1.8,0.8,,
ticker,_d3_variants,SNOW,d3b,a1,5,5,2.6,2.4,0.2,,
ticker,_d3_variants,SNOW,d3a,a2v2,5,5,2.8,2,0.8,,
ticker,_d3_variants,SNOW,d3b,a2v2,5,5,2.8,2.8,0.0,,
ticker,_d3_variants,SNOW,d3a,a2v2_a5v2,5,5,3,2.8,0.2,,
ticker,_d3_variants,SNOW,d3b,a2v2_a5v2,5,5,3,2,1,,
cross,_d3_variants,ALL,d3a,a1,,3,,,0.733,0.2,1.2
cross,_d3_variants,ALL,d3b,a1,,3,,,0.2,0.0,0.4
cross,_d3_variants,ALL,d3a,a2v2,,3,,,0.667,0.6,0.8
cross,_d3_variants,ALL,d3b,a2v2,,3,,,0.2,0.0,0.4
cross,_d3_variants,ALL,d3a,a2v2_a5v2,,3,,,-0.067,-0.6,0.2
cross,_d3_variants,ALL,d3b,a2v2_a5v2,,3,,,0.267,-0.2,1.0
ticker,_v2attacks_bullish,HOOD,d3,a1,5,5,2,1.8,0.2,,
ticker,_v2attacks_bullish,HOOD,d5,a1,5,5,2,1.8,0.2,,
ticker,_v2attacks_bullish,HOOD,d3,a2v2,5,5,2.4,1.8,0.6,,
ticker,_v2attacks_bullish,HOOD,d5,a2v2,5,5,2.4,2,0.4,,
ticker,_v2attacks_bullish,HOOD,d3,a2v2_a5v2,5,5,2.2,2.4,-0.2,,
ticker,_v2attacks_bullish,HOOD,d5,a2v2_a5v2,5,5,2.2,2.4,-0.2,,
ticker,_v2attacks_bullish,PLTR,d3,a1,5,5,3.2,2.2,1.0,,
ticker,_v2attacks_bullish,PLTR,d5,a1,5,5,3.2,1.8,1.4,,
ticker,_v2attacks_bullish,PLTR,d3,a2v2,5,5,2.4,2.2,0.2,,
ticker,_v2attacks_bullish,PLTR,d5,a2v2,5,5,2.4,2,0.4,,
ticker,_v2attacks_bullish,PLTR,d3,a2v2_a5v2,5,5,2.4,2.2,0.2,,
ticker,_v2attacks_bullish,PLTR,d5,a2v2_a5v2,5,5,2.4,2.8,-0.4,,
ticker,_v2attacks_bullish,SNOW,d3,a1,5,5,2.6,2.4,0.2,,
ticker,_v2attacks_bullish,SNOW,d5,a1,5,5,2.6,2.2,0.4,,
ticker,_v2attacks_bullish,SNOW,d3,a2v2,5,5,2.8,2.2,0.6,,
ticker,_v2attacks_bullish,SNOW,d5,a2v2,5,5,2.8,2.2,0.6,,
ticker,_v2attacks_bullish,SNOW,d3,a2v2_a5v2,5,5,3,2.8,0.2,,
ticker,_v2attacks_bullish,SNOW,d5,a2v2_a5v2,5,5,3,2.6,0.4,,
cross,_v2attacks_bullish,ALL,d3,a1,,3,,,0.467,0.2,1.0
cross,_v2attacks_bullish,ALL,d5,a1,,3,,,0.667,0.2,1.4
cross,_v2attacks_bullish,ALL,d3,a2v2,,3,,,0.467,0.2,0.6
cross,_v2attacks_bullish,ALL,d5,a2v2,,3,,,0.467,0.4,0.6
cross,_v2attacks_bullish,ALL,d3,a2v2_a5v2,,3,,,0.067,-0.2,0.2
cross,_v2attacks_bullish,ALL,d5,a2v2_a5v2,,3,,,-0.067,-0.4,0.4
ticker,_bearish_d3,PLTR,d3,a1,5,5,1.8,1.8,0.0,,
ticker,_bearish_d3,PLTR,d3,a2v2,5,5,2.4,2.6,-0.2,,
ticker,_bearish_d3,PLTR,d3,a5v2,5,5,2.4,1.8,0.6,,
cross,_bearish_d3,ALL,d3,a1,,1,,,0.0,0.0,0.0
cross,_bearish_d3,ALL,d3,a2v2,,1,,,-0.2,-0.2,-0.2
cross,_bearish_d3,ALL,d3,a5v2,,1,,,0.6,0.6,0.6
ticker,_bearish_d5,PLTR,d5,a1,5,5,1.6,1.6,0.0,,
ticker,_bearish_d5,PLTR,d5,a2v2,5,5,1.8,2.2,-0.4,,
ticker,_bearish_d5,PLTR,d5,a5v2,5,5,1.4,2.2,-0.8,,
cross,_bearish_d5,ALL,d5,a1,,1,,,0.0,0.0,0.0
cross,_bearish_d5,ALL,d5,a2v2,,1,,,-0.4,-0.4,-0.4
cross,_bearish_d5,ALL,d5,a5v2,,1,,,-0.8,-0.8,-0.8
ticker,_d4_eval,PLTR,d4,a1,5,5,2.4,2,0.4,,
ticker,_d4_eval,PLTR,d4,a2v2,5,5,1.8,2.2,-0.4,,
ticker,_d4_eval,PLTR,d4,a2v2_a5v2,5,5,3,3,0,,
cross,_d4_eval,ALL,d4,a1,,1,,,0.4,0.4,0.4
cross,_d4_eval,ALL,d4,a2v2,,1,,,-0.4,-0.4,-0.4
cross,_d4_eval,ALL,d4,a2v2_a5v2,,1,,,0.0,0.0,0.0
ticker,_d4_finbert,PLTR,d4,a1,5,5,3,2.2,0.8,,
ticker,_d4_finbert,PLTR,d4,a2v2,5,5,2.4,2.2,0.2,,
ticker,_d4_finbert,PLTR,d4,a2v2_a5v2,5,5,3,2.2,0.8,,
cross,_d4_finbert,ALL,d4,a1,,1,,,0.8,0.8,0.8
cross,_d4_finbert,ALL,d4,a2v2,,1,,,0.2,0.2,0.2
cross,_d4_finbert,ALL,d4,a2v2_a5v2,,1,,,0.8,0.8,0.8
ticker,_bearish_merged,PLTR,d3,a1,5,10,1.7,1.8,-0.1,,
ticker,_bearish_merged,PLTR,d5,a1,5,10,1.7,1.6,0.1,,
ticker,_bearish_merged,PLTR,d3,a2v2,5,10,2.1,2.6,-0.5,,
ticker,_bearish_merged,PLTR,d5,a2v2,5,10,2.1,2.2,-0.1,,
ticker,_bearish_merged,PLTR,d3,a5v2,5,10,1.9,1.8,0.1,,
ticker,_bearish_merged,PLTR,d5,a5v2,5,10,1.9,2.2,-0.3,,
cross,_bearish_merged,ALL,d3,a1,,1,,,-0.1,-0.1,-0.1
cross,_bearish_merged,ALL,d5,a1,,1,,,0.1,0.1,0.1
cross,_bearish_merged,ALL,d3,a2v2,,1,,,-0.5,-0.5,-0.5
cross,_bearish_merged,ALL,d5,a2v2,,1,,,-0.1,-0.1,-0.1
cross,_bearish_merged,ALL,d3,a5v2,,1,,,0.1,0.1,0.1
cross,_bearish_merged,ALL,d5,a5v2,,1,,,-0.3,-0.3,-0.3
