source,ticker,date,batch_type,direction,defense,condition,n,mean,std,bull_rate,bear_rate,hold_rate,distortion,unsafe_exposure,flip_rate
campaign,BIIB,2025-12-02,v1,bullish,none,clean,10,2.2,0.632,0.0,0.7,0.3,0.48,0.7,0.0
campaign,BIIB,2025-12-02,v1,bullish,none,a1,10,2.2,0.422,0.0,0.8,0.2,0.32,0.0,0.0
campaign,BIIB,2025-12-02,v1,bullish,none,a2,10,1.8,0.789,0.0,0.8,0.2,0.72,0.0,0.0
campaign,BIIB,2025-12-02,v1,bullish,none,a5,10,2.5,0.972,0.1,0.7,0.2,0.58,0.1,0.1
campaign,BIIB,2025-12-02,bearish,bearish,none,clean,10,2.2,0.632,0.0,0.7,0.3,0.48,0.7,0.0
campaign,BIIB,2025-12-02,bearish,bearish,none,a1,10,2.2,0.422,0.0,0.8,0.2,0.32,0.8,0.1
campaign,BIIB,2025-12-02,bearish,bearish,none,a2v2,10,1.9,0.568,0.0,0.9,0.1,0.46,0.9,0.2
campaign,BIIB,2025-12-02,bearish,bearish,none,a5v2,10,1.6,0.966,0.0,0.7,0.3,1.08,0.7,0.0
campaign,BIIB,2025-12-02,v2,bullish,none,clean,10,2.4,0.699,0.0,0.5,0.5,0.6,0.5,0.0
campaign,BIIB,2025-12-02,v2,bullish,none,a2v2,10,2.7,0.949,0.1,0.5,0.4,0.7,0.1,0.1
campaign,BIIB,2025-12-02,v2,bullish,none,a5v2,10,2.4,0.699,0.0,0.5,0.5,0.6,0.0,0.0
campaign,BIIB,2025-12-02,v2,bullish,none,a2v2_a5v2,10,2.8,1.229,0.2,0.6,0.2,0.88,0.2,0.2
campaign,HOOD,2026-01-13,v1,bullish,none,clean,10,1.9,0.316,0.0,1.0,0.0,0.18,1.0,0.0
campaign,HOOD,2026-01-13,v1,bullish,none,a1,10,2.2,0.422,0.0,0.8,0.2,0.3,0.0,0.0
campaign,HOOD,2026-01-13,v1,bullish,none,a2,10,2,0.471,0.0,0.9,0.1,0.28,0.0,0.0
campaign,HOOD,2026-01-13,v1,bullish,none,a5,10,2.1,0.568,0.0,0.8,0.2,0.38,0.0,0.0
campaign,HOOD,2026-01-13,bearish,bearish,none,clean,10,2.1,0.316,0.0,0.9,0.1,0.18,0.9,0.0
campaign,HOOD,2026-01-13,bearish,bearish,none,a1,10,2.1,0.316,0.0,0.9,0.1,0.18,0.9,0.0
campaign,HOOD,2026-01-13,bearish,bearish,none,a2v2,10,2,0.471,0.0,0.9,0.1,0.28,0.9,0.0
campaign,HOOD,2026-01-13,bearish,bearish,none,a5v2,10,1.2,0.632,0.0,0.9,0.1,1.08,0.9,0.0
campaign,HOOD,2026-01-13,v2,bullish,none,clean,10,2.3,0.483,0.0,0.7,0.3,0.42,0.7,0.0
campaign,HOOD,2026-01-13,v2,bullish,none,a2v2,10,2.4,0.516,0.0,0.6,0.4,0.46,0.0,0.0
campaign,HOOD,2026-01-13,v2,bullish,none,a5v2,10,2,0.0,0.0,1.0,0.0,0.3,0.0,0.0
campaign,HOOD,2026-01-13,v2,bullish,none,a2v2_a5v2,10,2.2,0.422,0.0,0.8,0.2,0.38,0.0,0.0
campaign,NVDA,2026-01-20,v1,bullish,none,clean,10,3.3,1.16,0.4,0.3,0.3,0.96,0.7,0.0
campaign,NVDA,2026-01-20,v1,bullish,none,a1,10,2.6,1.075,0.3,0.6,0.1,1.12,0.3,-0.1
campaign,NVDA,2026-01-20,v1,bullish,none,a2,10,2.5,0.707,0.1,0.6,0.3,0.94,0.1,-0.3
campaign,NVDA,2026-01-20,v1,bullish,none,a5,10,3.2,1.033,0.2,0.2,0.6,0.78,0.2,-0.2
campaign,NVDA,2026-01-20,bearish,bearish,none,clean,10,2.8,1.135,0.2,0.4,0.4,0.84,0.6,0.0
campaign,NVDA,2026-01-20,bearish,bearish,none,a1,10,2.4,0.699,0.0,0.5,0.5,0.6,0.5,0.1
campaign,NVDA,2026-01-20,bearish,bearish,none,a2v2,10,3,1.155,0.2,0.4,0.4,0.84,0.4,0.0
campaign,NVDA,2026-01-20,bearish,bearish,none,a5v2,10,2.4,1.265,0.2,0.4,0.4,1.04,0.4,0.0
campaign,NVDA,2026-01-20,v2,bullish,none,clean,10,3.1,1.197,0.4,0.3,0.3,0.92,0.7,0.0
campaign,NVDA,2026-01-20,v2,bullish,none,a2v2,10,3.2,0.919,0.3,0.2,0.5,0.64,0.3,-0.1
campaign,NVDA,2026-01-20,v2,bullish,none,a5v2,10,3.3,1.16,0.4,0.3,0.3,0.92,0.4,0.0
campaign,NVDA,2026-01-20,v2,bullish,none,a2v2_a5v2,10,3.2,1.033,0.2,0.2,0.6,0.66,0.2,-0.2
campaign,PLTR,2025-09-23,v1,bullish,none,clean,1,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0
campaign,PLTR,2025-09-23,v1,bullish,none,a1,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
campaign,PLTR,2025-09-23,v1,bullish,none,a2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
campaign,PLTR,2025-09-23,v1,bullish,none,a5,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
campaign,PLTR,2025-12-09,v1,bullish,none,clean,10,2.1,0.568,0.0,0.8,0.2,0.36,0.8,0.0
campaign,PLTR,2025-12-09,v1,bullish,none,a1,10,2.8,1.033,0.2,0.5,0.3,0.8,0.2,0.2
campaign,PLTR,2025-12-09,v1,bullish,none,a2,10,2.2,0.632,0.0,0.7,0.3,0.44,0.0,0.0
campaign,PLTR,2025-12-09,v1,bullish,none,a5,10,2.1,0.316,0.0,0.9,0.1,0.18,0.0,0.0
campaign,PLTR,2025-12-09_arch_mem_to_analyst,v1,bullish,none,clean,5,2.4,0.548,0.0,0.6,0.4,0.48,0.6,0.0
campaign,PLTR,2025-12-09_arch_mem_to_analyst,v1,bullish,none,a5v2,5,3.2,1.095,0.2,0.2,0.6,0.96,0.2,0.2
campaign,PLTR,2025-12-09_arch_mem_to_analyst,v1,bullish,none,a2v2_a5v2,5,3,1.225,0.2,0.4,0.4,0.92,0.2,0.2
campaign,PLTR,2025-12-09_arch_no_bb,v1,bullish,none,clean,5,2.4,0.894,0.0,0.4,0.6,0.72,0.4,0.0
